x	Matches	Discord tag	R	Commander	Time Zone	Week 1 Opponents	Week 2 Opponents	Adversaire 1	Score		Adversaire 2	Score		Adversaire 3	Score		MW%	OMW%	# G	GW	GW%
0	3	Freyalisër#3719	1	Uro, Titan of Natures Wrath	GMT +2	nicorave Proshaka onlyattarget	XxjakegmrxX blakeleygaming grimstien1#5556	McClurkan#85329	1	2	yoyomuffin	1	2	momo2000	0	2	0	78%	8	2	25%
2	3	McClurkan#85329	2	Slimefoot and Squee	GMT-6	Sprucegoose8809 ulavala escanorthecat	#N/A	Freyalisër#3719	2	1	yoyomuffin	1	2	onlyattarget	2	1	67	44%	9	5	56%
3	3	yoyomuffin	3	Derevi, Empyrial Tactician	GMT-7	inkheart#1346 mcknight#9612 Sprucegoose8809	#N/A	Freyalisër#3719	2	1	McClurkan#85329	2	1	onlyattarget	2	0	100	33%	8	6	75%
1	3	onlyattarget	4	Uro, Titan of Natures Wrath	GMT -5	nicorave Freyalisër#3719 momo2000	mcknight#9612 ArthurusBear#94635 Proshaka	McClurkan#85329	1	2	yoyomuffin	0	2	XxjakegmrxX	2	1	33	56%	8	3	38%
2	3	momo2000	5	Teferi, Time Raveler	GMT -5	Proshaka onlyattarget DaJolla#5108	#N/A	Freyalisër#3719	2	0	XxjakegmrxX	2	0	MathemaTiGer128#0607	1	2	67	33%	7	5	71%
0	3	XxjakegmrxX	6	Teysa of the Ghost Council	GMT-5	BudzDaGawd @predchow DiesToRemoval#38340	#N/A	momo2000	0	2	onlyattarget	1	2	DaJolla#5108	0	2	0	56%	7	1	14%
3	3	MathemaTiGer128#0607	7	Crucias, Titan of the Waves	GMT +2	Mortred#7824 Rendroc#6657 inkheart#1346	#N/A	momo2000	2	1	blakeleygaming	2	0	DiesToRemoval#38340	2	1	100	67%	8	6	75%
2	3	DaJolla#5108	8	Winota, Joiner of Forces	GMT +1	momo2000 Mortred#7824 Rendroc#6657	#N/A	XxjakegmrxX	2	0	blakeleygaming	0	2	ArthurusBear#94635	2	1	67	22%	7	4	57%
2	3	blakeleygaming	10	Satya, Aetherflux Genius	GMT - 8	themudman#8734 ArthurusBear#94635 masser	#N/A	MathemaTiGer128#0607	0	2	DaJolla#5108	2	0	Rendroc#6657	2	0	67	56%	6	4	67%
0	2	Rendroc#6657	12	Gyruda, Doom of Depths	GMT -5	Mortred#7824 DaJolla#5108 MathemaTiGer128#0607	#N/A	blakeleygaming	0	2	DiesToRemoval#38340	0	2	ArthurusBear#94635			0	22%	4	0	0%
2	3	DiesToRemoval#38340	13	Kaito, Dancing Shadow	GMT -5	grimstien1#5556 bpro_ XxjakegmrxX	#N/A	Rendroc#6657	2	0	MathemaTiGer128#0607	1	2	Mortred#7824	2	1	67	67%	8	5	63%
0	2	ArthurusBear#94635	18	Atraxa, Grand Unifier	GMT +1	thorntonamo themudman#8734 blakeleygaming	#N/A	DaJolla#5108	1	2	Rendroc#6657			Mortred#7824	1	2	0	33%	6	2	33%
1	3	Mortred#7824	19	Phlage, Titan of Fires Fury	GMT -8	DaJolla#5108 Rendroc#6657 MathemaTiGer128#0607	#N/A	DiesToRemoval#38340	1	2	ArthurusBear#94635	2	1	mcknight#9612	0	2	33	56%	8	3	38%
3	3	mcknight#9612	20	Grenzo, Crooked Jailer	GMT +0	yoyomuffin inkheart#1346 Sprucegoose8809	#N/A	Mortred#7824	2	0	thorntonamo	2	0	Clawed6#5212	2	1	100	44%	7	6	86%
1	3	thorntonamo	22	Eladamri, Korvecdal	GMT -5	ulavala escanorthecat ArthurusBear#94635	#N/A	mcknight#9612	0	2	Clawed6#5212	1	2	DemonOdda	2	0	33	56%	7	3	43%
2	3	Clawed6#5212	25	Balmor, Battlemage Captain	GMT +2	#N/A	#N/A	thorntonamo	2	1	mcknight#9612	1	2	rokushiiki#26463	2	1	67	56%	9	5	56%
0	3	DemonOdda	28	Omnath, Locus of Creation	GMT -5	#N/A	#N/A	thorntonamo	0	2	rokushiiki#26463	1	2	xbastoo3486	0	2	0	56%	7	1	14%
1	3	rokushiiki#26463	84	Chulane, Teller of Tales	GMT -1	#N/A	#N/A	DemonOdda	2	1	Clawed6#5212	1	2	xbastoo3486	0	2	33	56%	8	3	38%
3	3	xbastoo3486	199	Teferi, Hero of Dominaria	GMT +2	#N/A	#N/A	DemonOdda	2	0	rokushiiki#26463	2	0	BYE	2	0	100	17%	6	6	100%
0	0					  	  										0	#DIV/0!	0	0	
0	0					  	  										0	#DIV/0!	0	0	
0	0					  	  										0	#DIV/0!	0	0	
0	0					  	  										0	#DIV/0!	0	0	
0	0					  	  										0	#DIV/0!	0	0	
0	0					  	  										0	#DIV/0!	0	0	
0	0					  	  										0	#DIV/0!	0	0	
0	0					  	  										0	#DIV/0!	0	0	
0	0					  	  										0	#DIV/0!	0	0	
0	0					  	  										0	#DIV/0!	0	0	
0	0					  	  										0	#DIV/0!	0	0	
0	0					  	  										0	#DIV/0!	0	0	
0	0					  	  										0	#DIV/0!	0	0	
0	0					  	  										0	#DIV/0!	0	0	
0	0					  	  										0	#DIV/0!	0	0	
0	0					  	  										0	#DIV/0!	0	0	
0	0					  	  										0	#DIV/0!	0	0	
0	0					  	  										0	#DIV/0!	0	0	
0	0					  	  										0	#DIV/0!	0	0	
0	0					  	  										0	#DIV/0!	0	0	
0	0					  	  										0	#DIV/0!	0	0	
0	0					  	  										0	#DIV/0!	0	0	
0	0					  	  										0	#DIV/0!	0	0	
0	0					  	  										0	#DIV/0!	0	0	
0	0					  	  										0	#DIV/0!	0	0	
0	0					  	  										0	#DIV/0!	0	0	
0	0					  	  										0	#DIV/0!	0	0	
0	0					  	  										0	#DIV/0!	0	0	
0	0					  	  										0	#DIV/0!	0	0	
0	0					  	  										0	#DIV/0!	0	0	
									0	0		0	0		0	0					
									0	0		0	0		0	0					